month,level_1,value
2000-05,Total Passengers,2271392
2000-06,Total Aircraft Arrivals And Departures,14324
2000-06,Total Passengers,2419411
2000-07,Total Aircraft Arrivals And Departures,14726
2000-07,Total Passengers,2473812
2000-08,Total Aircraft Arrivals And Departures,14796
2000-08,Total Passengers,2466113
2000-09,Total Aircraft Arrivals And Departures,14401
2000-09,Total Passengers,2380969
2000-10,Total Aircraft Arrivals And Departures,14941
2000-10,Total Passengers,2410924
2000-11,Total Aircraft Arrivals And Departures,14601
2000-11,Total Passengers,2426484
2000-12,Total Aircraft Arrivals And Departures,15138
2000-12,Total Passengers,2614036
2001-01,Total Aircraft Arrivals And Departures,15253
2001-01,Total Passengers,2467100
2001-02,Total Aircraft Arrivals And Departures,13699
2001-02,Total Passengers,2126733
2001-03,Total Aircraft Arrivals And Departures,15284
2001-03,Total Passengers,2451966
2001-04,Total Aircraft Arrivals And Departures,14893
2001-04,Total Passengers,2314821
2001-05,Total Aircraft Arrivals And Departures,15503
2001-05,Total Passengers,2300020
2001-06,Total Aircraft Arrivals And Departures,15092
2001-06,Total Passengers,2447201
2001-07,Total Aircraft Arrivals And Departures,15393
2001-07,Total Passengers,2513806
2001-08,Total Aircraft Arrivals And Departures,15377
2001-08,Total Passengers,2481805
2001-09,Total Aircraft Arrivals And Departures,14818
2001-09,Total Passengers,2285790
2001-10,Total Aircraft Arrivals And Departures,14898
2001-10,Total Passengers,2096942
2001-11,Total Aircraft Arrivals And Departures,14302
2001-11,Total Passengers,2094570
2001-12,Total Aircraft Arrivals And Departures,14848
2001-12,Total Passengers,2513005
2002-01,Total Aircraft Arrivals And Departures,14563
2002-01,Total Passengers,2265051
2002-02,Total Aircraft Arrivals And Departures,13227
2002-02,Total Passengers,2207855
2002-03,Total Aircraft Arrivals And Departures,14587
2002-03,Total Passengers,2496235
2002-04,Total Aircraft Arrivals And Departures,14187
2002-04,Total Passengers,2340976
2002-05,Total Aircraft Arrivals And Departures,14784
2002-05,Total Passengers,2393972
2002-06,Total Aircraft Arrivals And Departures,14299
2002-06,Total Passengers,2456221
2002-07,Total Aircraft Arrivals And Departures,14796
2002-07,Total Passengers,2478260
2002-08,Total Aircraft Arrivals And Departures,14867
2002-08,Total Passengers,2496030
2002-09,Total Aircraft Arrivals And Departures,14420
2002-09,Total Passengers,2345354
2002-10,Total Aircraft Arrivals And Departures,15050
2002-10,Total Passengers,2398719
2002-11,Total Aircraft Arrivals And Departures,14666
2002-11,Total Passengers,2349313
2002-12,Total Aircraft Arrivals And Departures,15374
2002-12,Total Passengers,2751358
2003-01,Total Aircraft Arrivals And Departures,15268
2003-01,Total Passengers,2473455
2003-02,Total Aircraft Arrivals And Departures,13977
2003-02,Total Passengers,2242013
2003-03,Total Aircraft Arrivals And Departures,15254
2003-03,Total Passengers,2217884
2003-04,Total Aircraft Arrivals And Departures,11780
2003-04,Total Passengers,1168611
2003-05,Total Aircraft Arrivals And Departures,9555
2003-05,Total Passengers,1003619
2003-06,Total Aircraft Arrivals And Departures,9859
2003-06,Total Passengers,1527529
2003-07,Total Aircraft Arrivals And Departures,11727
2003-07,Total Passengers,2121034
2003-08,Total Aircraft Arrivals And Departures,12377
2003-08,Total Passengers,2258839
2003-09,Total Aircraft Arrivals And Departures,12498
2003-09,Total Passengers,2243004
2003-10,Total Aircraft Arrivals And Departures,13422
2003-10,Total Passengers,2301146
2003-11,Total Aircraft Arrivals And Departures,14005
2003-11,Total Passengers,2404322
2003-12,Total Aircraft Arrivals And Departures,14624
2003-12,Total Passengers,2702681
2004-01,Total Aircraft Arrivals And Departures,14695
2004-01,Total Passengers,2516148
2004-02,Total Aircraft Arrivals And Departures,13481
2004-02,Total Passengers,2173157
2004-03,Total Aircraft Arrivals And Departures,14724
2004-03,Total Passengers,2365455
2004-04,Total Aircraft Arrivals And Departures,14768
2004-04,Total Passengers,2370567
2004-05,Total Aircraft Arrivals And Departures,15490
2004-05,Total Passengers,2375387
2004-06,Total Aircraft Arrivals And Departures,15273
2004-06,Total Passengers,2603192
2004-07,Total Aircraft Arrivals And Departures,15809
2004-07,Total Passengers,2679107
2004-08,Total Aircraft Arrivals And Departures,15850
2004-08,Total Passengers,2597601
2004-09,Total Aircraft Arrivals And Departures,15569
2004-09,Total Passengers,2441242
2004-10,Total Aircraft Arrivals And Departures,16352
2004-10,Total Passengers,2562470
2004-11,Total Aircraft Arrivals And Departures,16094
2004-11,Total Passengers,2712571
2004-12,Total Aircraft Arrivals And Departures,16828
2004-12,Total Passengers,2956668
2005-01,Total Aircraft Arrivals And Departures,16666
2005-01,Total Passengers,2532594
2005-02,Total Aircraft Arrivals And Departures,15010
2005-02,Total Passengers,2307000
2005-03,Total Aircraft Arrivals And Departures,16649
2005-03,Total Passengers,2628115
2005-04,Total Aircraft Arrivals And Departures,16813
2005-04,Total Passengers,2561634
2005-05,Total Aircraft Arrivals And Departures,17431
2005-05,Total Passengers,2608397
2005-06,Total Aircraft Arrivals And Departures,17201
2005-06,Total Passengers,2806185
2005-07,Total Aircraft Arrivals And Departures,17523
2005-07,Total Passengers,2898656
2005-08,Total Aircraft Arrivals And Departures,17400
2005-08,Total Passengers,2780426
2005-09,Total Aircraft Arrivals And Departures,16834
2005-09,Total Passengers,2654697
2005-10,Total Aircraft Arrivals And Departures,17371
2005-10,Total Passengers,2748919
2005-11,Total Aircraft Arrivals And Departures,17324
2005-11,Total Passengers,2801076
2005-12,Total Aircraft Arrivals And Departures,17916
2005-12,Total Passengers,3103157
2006-01,Total Aircraft Arrivals And Departures,17780
2006-01,Total Passengers,2837001
2006-02,Total Aircraft Arrivals And Departures,16043
2006-02,Total Passengers,2545676
2006-03,Total Aircraft Arrivals And Departures,18164
2006-03,Total Passengers,2847456
2006-04,Total Aircraft Arrivals And Departures,17672
2006-04,Total Passengers,2850395
2006-05,Total Aircraft Arrivals And Departures,17962
2006-05,Total Passengers,2784615
2006-06,Total Aircraft Arrivals And Departures,17561
2006-06,Total Passengers,2980106
2006-07,Total Aircraft Arrivals And Departures,18018
2006-07,Total Passengers,3049601
2006-08,Total Aircraft Arrivals And Departures,17992
2006-08,Total Passengers,2957866
2006-09,Total Aircraft Arrivals And Departures,17625
2006-09,Total Passengers,2765037
2006-10,Total Aircraft Arrivals And Departures,18398
2006-10,Total Passengers,2972562
2006-11,Total Aircraft Arrivals And Departures,18022
2006-11,Total Passengers,3024706
2006-12,Total Aircraft Arrivals And Departures,18987
2006-12,Total Passengers,3418062
2007-01,Total Aircraft Arrivals And Departures,18452
2007-01,Total Passengers,2944074
2007-02,Total Aircraft Arrivals And Departures,16661
2007-02,Total Passengers,2718900
2007-03,Total Aircraft Arrivals And Departures,18611
2007-03,Total Passengers,3071748
2007-04,Total Aircraft Arrivals And Departures,18021
2007-04,Total Passengers,2968719
2007-05,Total Aircraft Arrivals And Departures,18561
2007-05,Total Passengers,2930477
2007-06,Total Aircraft Arrivals And Departures,18177
2007-06,Total Passengers,3125696
2007-07,Total Aircraft Arrivals And Departures,18622
2007-07,Total Passengers,3156243
2007-08,Total Aircraft Arrivals And Departures,18643
2007-08,Total Passengers,3111873
2007-09,Total Aircraft Arrivals And Departures,18194
2007-09,Total Passengers,2900307
2007-10,Total Aircraft Arrivals And Departures,18950
2007-10,Total Passengers,3077064
2007-11,Total Aircraft Arrivals And Departures,18515
2007-11,Total Passengers,3182693
2007-12,Total Aircraft Arrivals And Departures,19339
2007-12,Total Passengers,3513762
2008-01,Total Aircraft Arrivals And Departures,18868
2008-01,Total Passengers,3113263
2008-02,Total Aircraft Arrivals And Departures,18104
2008-02,Total Passengers,2940491
2008-03,Total Aircraft Arrivals And Departures,19370
2008-03,Total Passengers,3264616
2008-04,Total Aircraft Arrivals And Departures,18884
2008-04,Total Passengers,3049449
2008-05,Total Aircraft Arrivals And Departures,19590
2008-05,Total Passengers,3134572
2008-06,Total Aircraft Arrivals And Departures,19103
2008-06,Total Passengers,3215021
2008-07,Total Aircraft Arrivals And Departures,19697
2008-07,Total Passengers,3232007
2008-08,Total Aircraft Arrivals And Departures,19673
2008-08,Total Passengers,3148362
2008-09,Total Aircraft Arrivals And Departures,19009
2008-09,Total Passengers,2888892
2008-10,Total Aircraft Arrivals And Departures,19664
2008-10,Total Passengers,3132419
2008-11,Total Aircraft Arrivals And Departures,19193
2008-11,Total Passengers,3081842
2008-12,Total Aircraft Arrivals And Departures,20771
2008-12,Total Passengers,3493890
2009-01,Total Aircraft Arrivals And Departures,20373
2009-01,Total Passengers,3073677
2009-02,Total Aircraft Arrivals And Departures,17615
2009-02,Total Passengers,2558953
2009-03,Total Aircraft Arrivals And Departures,19559
2009-03,Total Passengers,2901885
2009-04,Total Aircraft Arrivals And Departures,19625
2009-04,Total Passengers,2914509
2009-05,Total Aircraft Arrivals And Departures,19711
2009-05,Total Passengers,2787124
2009-06,Total Aircraft Arrivals And Departures,19071
2009-06,Total Passengers,3053035
2009-07,Total Aircraft Arrivals And Departures,20264
2009-07,Total Passengers,3169720
2009-08,Total Aircraft Arrivals And Departures,20495
2009-08,Total Passengers,3162960
2009-09,Total Aircraft Arrivals And Departures,20115
2009-09,Total Passengers,3063650
2009-10,Total Aircraft Arrivals And Departures,20986
2009-10,Total Passengers,3320887
2009-11,Total Aircraft Arrivals And Departures,20661
2009-11,Total Passengers,3365250
2009-12,Total Aircraft Arrivals And Departures,21885
2009-12,Total Passengers,3832328
2010-01,Total Aircraft Arrivals And Departures,21502
2010-01,Total Passengers,3384473
2010-02,Total Aircraft Arrivals And Departures,19617
2010-02,Total Passengers,3108244
2010-03,Total Aircraft Arrivals And Departures,21604
2010-03,Total Passengers,3448617
2010-04,Total Aircraft Arrivals And Departures,21303
2010-04,Total Passengers,3283071
2010-05,Total Aircraft Arrivals And Departures,22151
2010-05,Total Passengers,3389972
2010-06,Total Aircraft Arrivals And Departures,21833
2010-06,Total Passengers,3621082
2010-07,Total Aircraft Arrivals And Departures,22593
2010-07,Total Passengers,3673387
2010-08,Total Aircraft Arrivals And Departures,22368
2010-08,Total Passengers,3467630
2010-09,Total Aircraft Arrivals And Departures,21923
2010-09,Total Passengers,3393497
2010-10,Total Aircraft Arrivals And Departures,22488
2010-10,Total Passengers,3581850
2010-11,Total Aircraft Arrivals And Departures,22372
2010-11,Total Passengers,3623080
2010-12,Total Aircraft Arrivals And Departures,23839
2010-12,Total Passengers,4063874
2011-01,Total Aircraft Arrivals And Departures,24000
2011-01,Total Passengers,3787070
2011-02,Total Aircraft Arrivals And Departures,22013
2011-02,Total Passengers,3390264
2011-03,Total Aircraft Arrivals And Departures,24403
2011-03,Total Passengers,3708592
2011-04,Total Aircraft Arrivals And Departures,24266
2011-04,Total Passengers,3731875
2011-05,Total Aircraft Arrivals And Departures,24994
2011-05,Total Passengers,3773137
2011-06,Total Aircraft Arrivals And Departures,25059
2011-06,Total Passengers,4011823
2011-07,Total Aircraft Arrivals And Departures,25908
2011-07,Total Passengers,4172971
2011-08,Total Aircraft Arrivals And Departures,25708
2011-08,Total Passengers,3855722
2011-09,Total Aircraft Arrivals And Departures,25513
2011-09,Total Passengers,3817720
2011-10,Total Aircraft Arrivals And Departures,26270
2011-10,Total Passengers,3878788
2011-11,Total Aircraft Arrivals And Departures,25923
2011-11,Total Passengers,3890535
2011-12,Total Aircraft Arrivals And Departures,27654
2011-12,Total Passengers,4525348
2012-01,Total Aircraft Arrivals And Departures,27584
2012-01,Total Passengers,4244834
2012-02,Total Aircraft Arrivals And Departures,24903
2012-02,Total Passengers,3770270
2012-03,Total Aircraft Arrivals And Departures,26981
2012-03,Total Passengers,4277559
2012-04,Total Aircraft Arrivals And Departures,26410
2012-04,Total Passengers,4206420
2012-05,Total Aircraft Arrivals And Departures,26990
2012-05,Total Passengers,4089894
2012-06,Total Aircraft Arrivals And Departures,26662
2012-06,Total Passengers,4402693
2012-07,Total Aircraft Arrivals And Departures,27093
2012-07,Total Passengers,4360693
2012-08,Total Aircraft Arrivals And Departures,27381
2012-08,Total Passengers,4276912
2012-09,Total Aircraft Arrivals And Departures,26526
2012-09,Total Passengers,4002344
2012-10,Total Aircraft Arrivals And Departures,27641
2012-10,Total Passengers,4268532
2012-11,Total Aircraft Arrivals And Departures,27593
2012-11,Total Passengers,4365456
2012-12,Total Aircraft Arrivals And Departures,28958
2012-12,Total Passengers,4916197
2013-01,Total Aircraft Arrivals And Departures,28203
2013-01,Total Passengers,4325530
2013-02,Total Aircraft Arrivals And Departures,25939
2013-02,Total Passengers,4117962
2013-03,Total Aircraft Arrivals And Departures,28423
2013-03,Total Passengers,4608339
2013-04,Total Aircraft Arrivals And Departures,27544
2013-04,Total Passengers,4240461
2013-05,Total Aircraft Arrivals And Departures,28451
2013-05,Total Passengers,4281153
2013-06,Total Aircraft Arrivals And Departures,28283
2013-06,Total Passengers,4669334
2013-07,Total Aircraft Arrivals And Departures,28955
2013-07,Total Passengers,4536572
2013-08,Total Aircraft Arrivals And Departures,29613
2013-08,Total Passengers,4678005
2013-09,Total Aircraft Arrivals And Departures,28441
2013-09,Total Passengers,4279588
2013-10,Total Aircraft Arrivals And Departures,29485
2013-10,Total Passengers,4405289
2013-11,Total Aircraft Arrivals And Departures,29505
2013-11,Total Passengers,4464415
2013-12,Total Aircraft Arrivals And Departures,30923
2013-12,Total Passengers,5119439
2014-01,Total Aircraft Arrivals And Departures,30353
2014-01,Total Passengers,4596764
2014-02,Total Aircraft Arrivals And Departures,26764
2014-02,Total Passengers,4109038
2014-03,Total Aircraft Arrivals And Departures,29141
2014-03,Total Passengers,4493991
2014-04,Total Aircraft Arrivals And Departures,28358
2014-04,Total Passengers,4383872
2014-05,Total Aircraft Arrivals And Departures,28933
2014-05,Total Passengers,4368639
2014-06,Total Aircraft Arrivals And Departures,28130
2014-06,Total Passengers,4654569
2014-07,Total Aircraft Arrivals And Departures,28205
2014-07,Total Passengers,4581591
2014-08,Total Aircraft Arrivals And Departures,28356
2014-08,Total Passengers,4649022
2014-09,Total Aircraft Arrivals And Departures,27024
2014-09,Total Passengers,4256229
2014-10,Total Aircraft Arrivals And Departures,28380
2014-10,Total Passengers,4490180
2014-11,Total Aircraft Arrivals And Departures,28031
2014-11,Total Passengers,4415710
2014-12,Total Aircraft Arrivals And Departures,29711
2014-12,Total Passengers,5093465
2015-01,Total Aircraft Arrivals And Departures,28779
2015-01,Total Passengers,4420122
2015-02,Total Aircraft Arrivals And Departures,26491
2015-02,Total Passengers,4121357
2015-03,Total Aircraft Arrivals And Departures,28793
2015-03,Total Passengers,4535119
2015-04,Total Aircraft Arrivals And Departures,28256
2015-04,Total Passengers,4391381
2015-05,Total Aircraft Arrivals And Departures,29042
2015-05,Total Passengers,4480261
2015-06,Total Aircraft Arrivals And Departures,28531
2015-06,Total Passengers,4699589
2015-07,Total Aircraft Arrivals And Departures,29412
2015-07,Total Passengers,4893574
2015-08,Total Aircraft Arrivals And Departures,29606
2015-08,Total Passengers,4955301
2015-09,Total Aircraft Arrivals And Departures,28464
2015-09,Total Passengers,4421554
2015-10,Total Aircraft Arrivals And Departures,29610
2015-10,Total Passengers,4600789
2015-11,Total Aircraft Arrivals And Departures,28729
2015-11,Total Passengers,4636752
2015-12,Total Aircraft Arrivals And Departures,30621
2015-12,Total Passengers,5293165
2016-01,Total Aircraft Arrivals And Departures,30145
2016-01,Total Passengers,4860156
2016-02,Total Aircraft Arrivals And Departures,28518
2016-02,Total Passengers,4602026
2016-03,Total Aircraft Arrivals And Departures,30125
2016-03,Total Passengers,4902767
2016-04,Total Aircraft Arrivals And Departures,29460
2016-04,Total Passengers,4793662
2016-05,Total Aircraft Arrivals And Departures,30221
2016-05,Total Passengers,4781918
2016-06,Total Aircraft Arrivals And Departures,29345
2016-06,Total Passengers,4838307
2016-07,Total Aircraft Arrivals And Departures,30793
2016-07,Total Passengers,5181108
2016-08,Total Aircraft Arrivals And Departures,30257
2016-08,Total Passengers,4923309
2016-09,Total Aircraft Arrivals And Departures,29330
2016-09,Total Passengers,4584383
2016-10,Total Aircraft Arrivals And Departures,30614
2016-10,Total Passengers,4768937
2016-11,Total Aircraft Arrivals And Departures,29708
2016-11,Total Passengers,4784818
2016-12,Total Aircraft Arrivals And Departures,31974
2016-12,Total Passengers,5676648
2017-01,Total Aircraft Arrivals And Departures,31596
2017-01,Total Passengers,5256301
2017-02,Total Aircraft Arrivals And Departures,28032
2017-02,Total Passengers,4669729
2017-03,Total Aircraft Arrivals And Departures,30916
2017-03,Total Passengers,5112576
2017-04,Total Aircraft Arrivals And Departures,30569
2017-04,Total Passengers,5168548
2017-05,Total Aircraft Arrivals And Departures,31197
2017-05,Total Passengers,5003578
2017-06,Total Aircraft Arrivals And Departures,30915
2017-06,Total Passengers,5208779
2017-07,Total Aircraft Arrivals And Departures,31908
2017-07,Total Passengers,5415734
2017-08,Total Aircraft Arrivals And Departures,31747
2017-08,Total Passengers,5265703
2017-09,Total Aircraft Arrivals And Departures,30492
2017-09,Total Passengers,4927561
2017-10,Total Aircraft Arrivals And Departures,31733
2017-10,Total Passengers,5155327
2017-11,Total Aircraft Arrivals And Departures,31140
2017-11,Total Passengers,5173747
2017-12,Total Aircraft Arrivals And Departures,32956
2017-12,Total Passengers,5861990
2018-01,Total Aircraft Arrivals And Departures,32486
2018-01,Total Passengers,5303639
2018-02,Total Aircraft Arrivals And Departures,29701
2018-02,Total Passengers,4932345
2018-03,Total Aircraft Arrivals And Departures,32585
2018-03,Total Passengers,5555117
2018-04,Total Aircraft Arrivals And Departures,31990
2018-04,Total Passengers,5430745
2018-05,Total Aircraft Arrivals And Departures,32332
2018-05,Total Passengers,5294980
2018-06,Total Aircraft Arrivals And Departures,31874
2018-06,Total Passengers,5565775
2018-07,Total Aircraft Arrivals And Departures,32706
2018-07,Total Passengers,5723094
2018-08,Total Aircraft Arrivals And Departures,32888
2018-08,Total Passengers,5682688
2018-09,Total Aircraft Arrivals And Departures,31395
2018-09,Total Passengers,5225903
2018-10,Total Aircraft Arrivals And Departures,32759
2018-10,Total Passengers,5376234
2018-11,Total Aircraft Arrivals And Departures,31909
2018-11,Total Passengers,5408993
2018-12,Total Aircraft Arrivals And Departures,33417
2018-12,Total Passengers,6127843
2019-01,Total Aircraft Arrivals And Departures,32729
2019-01,Total Passengers,5656076
2019-02,Total Aircraft Arrivals And Departures,29894
2019-02,Total Passengers,5131807
2019-03,Total Aircraft Arrivals And Departures,32371
2019-03,Total Passengers,5630780
2019-04,Total Aircraft Arrivals And Departures,31454
2019-04,Total Passengers,5580503
2019-05,Total Aircraft Arrivals And Departures,31671
2019-05,Total Passengers,5407308
2019-06,Total Aircraft Arrivals And Departures,31391
2019-06,Total Passengers,5816089
2019-07,Total Aircraft Arrivals And Departures,32389
2019-07,Total Passengers,5910782
2019-08,Total Aircraft Arrivals And Departures,32364
2019-08,Total Passengers,5900629
2019-09,Total Aircraft Arrivals And Departures,31179
2019-09,Total Passengers,5469342
2019-10,Total Aircraft Arrivals And Departures,31958
2019-10,Total Passengers,5646643
2019-11,Total Aircraft Arrivals And Departures,31598
2019-11,Total Passengers,5718386
2019-12,Total Aircraft Arrivals And Departures,33344
2019-12,Total Passengers,6414495
2020-01,Total Aircraft Arrivals And Departures,33435
2020-01,Total Passengers,5950940
2020-02,Total Aircraft Arrivals And Departures,26231
2020-02,Total Passengers,3446022
2020-03,Total Aircraft Arrivals And Departures,16223
2020-03,Total Passengers,1649662
2020-04,Total Aircraft Arrivals And Departures,3865
2020-04,Total Passengers,25189
2020-05,Total Aircraft Arrivals And Departures,4472
2020-05,Total Passengers,24504
2020-06,Total Aircraft Arrivals And Departures,4779
2020-06,Total Passengers,48241
2020-07,Total Aircraft Arrivals And Departures,5247
2020-07,Total Passengers,85981